"";"DDN";"Localidad";"Provincia";"pagina"
"1";11;"AMBA";"AMBA";1
"2";220;"GENERAL LAS HERAS";"BUENOS AIRES";1
"3";220;"LIBERTAD";"BUENOS AIRES";1
"4";220;"MARCOS PAZ";"BUENOS AIRES";1
"5";220;"MARIANO ACOSTA";"BUENOS AIRES";1
"6";220;"MERLO (PROV.  BUENOS AIRES)";"BUENOS AIRES";1
"7";220;"PLOMMER";"BUENOS AIRES";1
"8";220;"PONTEVEDRA";"BUENOS AIRES";1
"9";220;"VILLARS";"BUENOS AIRES";1
"10";221;"ABASTO";"BUENOS AIRES";2
"11";221;"BARRIO PARQUE SICARDI";"BUENOS AIRES";2
"12";221;"BARTOLOME BAVIO";"BUENOS AIRES";2
"13";221;"LA PLATA";"BUENOS AIRES";2
"14";221;"LISANDRO OLMOS";"BUENOS AIRES";2
"15";221;"OLIDEN";"BUENOS AIRES";2
"16";221;"POBLET";"BUENOS AIRES";2
"17";223;"BARRIO EL CASAL";"BUENOS AIRES";5
"18";223;"BARRIO LA ARMONIA";"BUENOS AIRES";5
"19";223;"BARRIO PARQUE PEÑA";"BUENOS AIRES";6
"20";223;"BARRIO SAN EDUARDO";"BUENOS AIRES";6
"21";223;"BATAN";"BUENOS AIRES";6
"22";223;"COLONIA BARRAGAN";"BUENOS AIRES";6
"23";223;"EL FARO";"BUENOS AIRES";6
"24";223;"ESTACION CAMET";"BUENOS AIRES";6
"25";223;"LA BRAVA (PROV. BUENOS AIRES)";"BUENOS AIRES";6
"26";223;"LAS DOS MARIAS";"BUENOS AIRES";6
"27";223;"LOS ORTIZ";"BUENOS AIRES";6
"28";223;"MAR CHIQUITA";"BUENOS AIRES";6
"29";223;"MAR DEL PLATA";"BUENOS AIRES";7
"30";223;"PLAYA CHAPADMALAL";"BUENOS AIRES";7
"31";223;"SANTA CELINA";"BUENOS AIRES";7
"32";223;"SANTA CLARA DEL MAR";"BUENOS AIRES";7
"33";223;"SIERRA DE LOS PADRES";"BUENOS AIRES";7
"34";230;"DERQUI";"BUENOS AIRES";14
"35";230;"FATIMA";"BUENOS AIRES";15
"36";230;"LA LONJA";"BUENOS AIRES";15
"37";230;"LOS CARDALES";"BUENOS AIRES";15
"38";230;"PARQUE INDUSTRIAL PILAR";"BUENOS AIRES";15
"39";230;"PILAR (PROV.  BUENOS AIRES)";"BUENOS AIRES";15
"40";230;"VILLA ROSA";"BUENOS AIRES";15
"41";236;"AGUSTIN ROCA";"BUENOS AIRES";32
"42";236;"AGUSTINA";"BUENOS AIRES";32
"43";236;"BAIGORRITA";"BUENOS AIRES";32
"44";236;"JUNIN (PROV.  BUENOS AIRES)";"BUENOS AIRES";32
"45";236;"LEANDRO N. ALEM (PROV.  BUENOS AIRES)";"BUENOS AIRES";32
"46";236;"MORSE";"BUENOS AIRES";32
